YEAR,MONTH,dp,dg,rf,re
1962,6,-3.291607442,0.038313478,0.00984354,-0.15988762
1962,7,-3.342672235,0.054902434,0.01412472,-0.125151076
1962,8,-3.3670741,0.019635536,0.011684157,-0.133344028
1962,9,-3.311009146,0.042210022,0.012127403,-0.163152841
1962,10,-3.303857943,0.040114531,0.012726086,-0.188671297
1962,11,-3.393234179,0.015764926,0.013225213,-0.132970489
1962,12,-3.396043632,0.03991222,0.013624375,-0.12126547
1963,1,-3.450002072,0.021687257,0.01372413,-0.035368279
1963,2,-3.417144962,0.011285356,0.017351277,-0.07334998
1963,3,-3.445281196,0.033055821,0.014366558,-0.040357472
1963,4,-3.484897876,0.040216461,0.017982607,0.073822648
1963,5,-3.484538935,0.02831354,0.017982607,0.181779184
1963,6,-3.465171216,0.04357359,0.015008638,0.247926139
1963,7,-3.454607155,0.040623803,0.015051781,0.183669443
1963,8,-3.503968737,0.045147246,0.015251302,0.211676192
1963,9,-3.463486493,0.070887025,0.019144761,0.25420427
1963,10,-3.484041719,0.066044351,0.016291649,0.276449959
1963,11,-3.453148631,0.07586542,0.016990008,0.166935299
1963,12,-3.467463149,0.069756474,0.014346958,0.171895352
1964,1,-3.495331328,0.070596251,0.014845586,0.145813084
1964,2,-3.495557188,0.077588741,0.015144853,0.185881896
1964,3,-3.502630207,0.086442287,0.019226774,0.173464718
1964,4,-3.501904749,0.084201183,0.019625697,0.130902694
1964,5,-3.509765335,0.073223693,0.019825199,0.12791562
1964,6,-3.513963538,0.083057031,0.020565653,0.161193231
1964,7,-3.537486996,0.070735609,0.020906832,0.1822868
1964,8,-3.507273933,0.090120015,0.024426653,0.122963165
1964,9,-3.543171501,0.05319477,0.021305764,0.161390903
1964,10,-3.55838265,0.043153586,0.0245578,0.145581224
1964,11,-3.543414585,0.033169882,0.021546966,0.15194013
1964,12,-3.537246134,0.039366485,0.024987861,0.137827628
